chromosome_id,WT_1_1,WT_2_1,WT_3_1,HGPS_917_SCR_1,HGPS_478_SCR_1,HGPS_297_SCR_1,HGPS_917_NT_1,HGPS_478_NT_1,HGPS_297_NT_1,WRN_1_NT_1,WRN_2_NT_1,WRN_3_NT_1,WRN_1_L1_ASO_1,WRN_2_L1_ASO_1,WRN_3_L1_ASO_1,HGPS_917_L1_ASO_1,HGPS_478_L1_ASO_1,HGPS_297_L1_ASO_1,WRN_1_SCR_1,WRN_2_SCR_1,WRN_3_SCR_1
X,1.5600624024960998,1.5600624024960998,1.5600624024960998,5.46448087431694,5.46448087431694,5.46448087431694,5.46448087431694,5.46448087431694,5.46448087431694,3.9032006245121,3.9032006245121,3.9032006245121,2.3400936037441498,2.3400936037441498,2.3400936037441498,2.3400936037441498,2.3400936037441498,2.3400936037441498,3.9032006245121,3.9032006245121,3.9032006245121
11,8.016032064128256,8.016032064128256,8.016032064128256,4.006009013520281,4.006009013520281,6.509764646970456,4.506760140210315,4.506760140210315,5.508262393590385,5.007511266900351,5.007511266900351,5.007511266900351,5.508262393590385,5.508262393590385,5.508262393590385,6.509764646970456,6.509764646970456,6.509764646970456,7.511266900350526,7.511266900350526,7.511266900350526
8,7.76287932251235,7.057163020465773,9.174311926605505,7.76287932251235,7.76287932251235,9.880028228652082,7.76287932251235,7.76287932251235,8.468595624558928,9.880028228652082,9.880028228652082,9.880028228652082,7.76287932251235,7.76287932251235,7.76287932251235,7.057163020465773,6.351446718419195,7.057163020465773,9.880028228652082,9.880028228652082,9.880028228652082
16,2.434570906877662,2.434570906877662,2.434570906877662,8.52099817407182,8.52099817407182,8.52099817407182,7.303712720632989,5.477784540474741,8.52099817407182,7.912355447352404,7.912355447352404,8.52099817407182,9.129640900791236,9.129640900791236,6.086427267194157,4.869141813755325,7.912355447352404,7.303712720632989,7.912355447352404,7.912355447352404,7.912355447352404
20,6.472491909385114,6.472491909385114,6.472491909385114,10.787486515641856,6.472491909385114,5.393743257820928,10.787486515641856,9.70873786407767,9.70873786407767,8.629989212513484,5.393743257820928,5.393743257820928,5.393743257820928,5.393743257820928,5.393743257820928,6.472491909385114,6.472491909385114,8.629989212513484,5.393743257820928,5.393743257820928,10.787486515641856
13,7.281553398058253,8.495145631067961,7.281553398058253,10.92233009708738,8.495145631067961,8.495145631067961,8.495145631067961,8.495145631067961,8.495145631067961,2.4271844660194173,2.4271844660194173,2.4271844660194173,7.281553398058253,7.281553398058253,7.281553398058253,9.70873786407767,9.70873786407767,9.70873786407767,6.067961165048544,4.854368932038835,4.854368932038835
17,4.847309743092584,6.301502666020359,6.301502666020359,4.847309743092584,4.847309743092584,5.332040717401842,4.847309743092584,3.877847794474067,4.362578768783325,5.332040717401842,5.332040717401842,5.332040717401842,4.847309743092584,4.847309743092584,4.847309743092584,5.8167716917111,5.8167716917111,5.8167716917111,6.786233640329617,6.786233640329617,5.332040717401842
19,3.8424591738712777,3.8424591738712777,3.8424591738712777,1.440922190201729,2.881844380403458,2.881844380403458,1.440922190201729,2.881844380403458,2.881844380403458,3.8424591738712777,3.8424591738712777,3.8424591738712777,4.803073967339097,3.8424591738712777,3.8424591738712777,3.8424591738712777,3.362151777137368,3.362151777137368,2.881844380403458,2.881844380403458,4.803073967339097
1,7.749792416274564,6.919457514530861,7.749792416274564,7.47301411569333,7.47301411569333,7.47301411569333,7.196235815112095,7.749792416274564,9.133683919180736,7.196235815112095,7.196235815112095,7.196235815112095,6.089122612787158,6.089122612787158,6.089122612787158,6.919457514530861,6.089122612787158,7.196235815112095,9.96401882092444,9.687240520343206,7.196235815112095
4,6.966434452184927,6.966434452184927,6.966434452184927,8.866371120962635,8.866371120962635,8.866371120962635,10.13299556681444,9.499683343888536,9.499683343888536,8.233058898036733,8.233058898036733,8.233058898036733,7.59974667511083,7.59974667511083,7.59974667511083,8.233058898036733,8.233058898036733,7.59974667511083,8.866371120962635,8.866371120962635,8.233058898036733
12,4.847309743092584,3.877847794474067,4.847309743092584,4.362578768783325,4.362578768783325,4.362578768783325,4.362578768783325,4.362578768783325,4.362578768783325,4.362578768783325,4.362578768783325,4.362578768783325,4.362578768783325,3.3931168201648085,4.362578768783325,3.877847794474067,3.877847794474067,3.877847794474067,3.877847794474067,3.877847794474067,3.877847794474067
18,6.811989100817439,4.087193460490464,4.087193460490464,4.087193460490464,4.087193460490464,4.087193460490464,4.087193460490464,4.087193460490464,4.087193460490464,1.3623978201634876,1.3623978201634876,1.3623978201634876,4.087193460490464,4.087193460490464,4.087193460490464,4.087193460490464,4.087193460490464,4.087193460490464,4.087193460490464,4.087193460490464,4.087193460490464
7,4.945054945054945,4.945054945054945,4.945054945054945,1.6483516483516485,2.197802197802198,1.6483516483516485,1.6483516483516485,1.6483516483516485,0.5494505494505495,3.2967032967032965,3.2967032967032965,3.2967032967032965,0.5497526113249038,2.1990104452996158,2.1990104452996158,2.197802197802198,2.197802197802198,2.197802197802198,2.7472527472527477,2.7472527472527477,2.7472527472527477
